FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,Tor%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Troy Daniels,Den,F,28.66,1,0.7,1.5,62.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Ty Jerome,Pho,G-F,22.68,28,11.3,23.4,17.6,13.8,14,0.786,59,0.407,47,0.277,0.41,0.437,3.5,1.5,7.2,1.5,18.8,0.5,0.11,0.64,7,92.6,105.6
Tyler Cook,Cle,F,22.47,11,3.2,6.6,16.7,7.3,6,0.833,10,0.7,0,0,0.7,0.752,1.7,0.9,15.9,0.1,4.5,0.09,0,0.09,6.7,,
Tyler Herro,Mia,G,20.14,47,27.2,56.7,22,11.3,79,0.835,279,0.434,253,0.391,0.507,0.534,12.9,4,8.2,1.9,11.1,0.64,0.15,1.53,6.8,99.9,108.7
Tyler Johnson,Pho,G,27.84,31,16.6,34.6,17.2,11.5,32,0.75,88,0.466,83,0.289,0.45,0.481,5.7,1.7,5.6,1.6,13.5,0.39,0.26,0.77,6,97.8,108.3
Tyrone Wallace,Atl,G,25.75,14,11.5,23.9,15.9,16.3,17,0.647,29,0.448,15,0.067,0.33,0.389,2.9,1.6,7.4,0.9,10.8,0.5,0.07,0.71,5.6,79.7,106.6
Tyson Chandler,Hou,C,37.44,26,8.4,17.6,6,25.2,13,0.462,18,0.778,0,0,0.778,0.717,1.3,2.5,15.8,0.2,3.5,0.23,0.31,0.31,4.1,133.4,97.9
Tyus Jones,Mem,G,23.84,65,19,39.5,17.2,10.8,58,0.741,305,0.492,124,0.379,0.514,0.532,7.4,1.6,4.3,4.4,31.7,0.91,0.09,0.85,7.9,116.2,112.3
Udonis Haslem,Mia,F,39.75,3,6.9,14.3,16.6,0,4,0.75,4,0.25,2,0,0.167,0.322,1.7,2.7,21.8,0.3,6.3,0,0,0,6.4,79.2,92.5
Vic Law,Orl,F,24.23,5,1.9,3.9,18,0,2,0,2,0,1,0,0,0,0,0.2,5.8,0,0,0,0,0,0,,
Victor Oladipo,Ind,G,27.85,13,26,54.1,27,13.5,41,0.78,92,0.457,69,0.304,0.457,0.5,13.8,3.2,6.7,3,16.9,0.85,0.23,2.15,7.8,95.8,106.9
Vince Carter,Atl,G-F,43.12,60,14.6,30.4,16.6,9.4,29,0.793,102,0.451,202,0.302,0.452,0.47,5,2.1,7.6,0.8,7.7,0.38,0.42,0.55,5.6,94.2,109.2
Vincent Poirier,Bos,C-F,26.37,21,5.4,11.3,15.8,14.3,7,0.857,31,0.484,2,0.5,0.5,0.54,1.9,1.6,16,0.3,8.7,0.1,0.29,0.29,7.2,109.9,87.8
Vlatko Cancar,Den,F,22.92,14,3.2,6.8,18.9,15.2,4,1,9,0.556,6,0.167,0.433,0.507,1.2,0.7,12.3,0.2,9,0.07,0.07,0.21,6.9,,
Wayne Ellington,Nyk,G,32.28,36,15.5,32.3,15,9.1,13,0.846,31,0.355,143,0.35,0.494,0.509,5.1,1.8,6.2,1.2,11,0.36,0.11,0.5,5.7,105,110.3
Wendell Carter Jr.,Chi,C-F,20.9,43,29.2,60.8,16.4,14.9,152,0.737,314,0.564,29,0.207,0.542,0.59,11.3,9.4,17.7,1.2,6,0.77,0.84,1.67,6.9,114.6,99.1
Wenyen Gabriel,Sac,F,22.96,11,5.6,11.6,18.8,18.9,10,0.6,9,0.556,8,0.125,0.382,0.444,1.7,0.9,9.2,0.3,6.7,0.27,0.18,0.45,5.5,86.7,102.8
Wenyen Gabriel,Por,F,22.96,17,8.8,18.3,12.6,24.8,10,0.8,17,0.529,12,0.417,0.569,0.614,2.4,2.1,12.5,0.3,4.3,0.41,0.24,0.65,5.2,108.3,96.5
