FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,Tor%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Ersan Ilyasova,Mil,F,32.83,56,16,33.3,16.4,9.3,75,0.827,166,0.548,124,0.371,0.552,0.591,6.8,4.9,15.2,0.8,7,0.41,0.25,0.59,7.5,118.6,93.6
Evan Fournier,Orl,G-F,27.37,61,31.7,65.9,24.2,11,205,0.82,464,0.524,406,0.406,0.564,0.598,18.8,2.6,4.4,3.2,16.5,1.15,0.23,1.95,6.8,112.2,105.9
Evan Turner,Atl,G-F,31.37,19,13.2,27.6,16.4,26.2,14,0.857,62,0.403,5,0,0.373,0.424,3.3,2,8.1,2,20.5,0.47,0.42,1.37,7.2,83.3,111.2
Frank Jackson,Nor,G,21.86,51,12.9,26.8,20.4,13.1,64,0.75,137,0.438,120,0.325,0.461,0.5,5.6,1.4,5.7,0.8,8.6,0.29,0.08,0.84,5.7,96.2,107
Frank Kaminsky,Pho,F-C,26.94,32,22.4,46.7,20.8,9.4,88,0.67,167,0.527,112,0.348,0.525,0.554,11,4.9,12.2,2.2,14.8,0.44,0.31,1.03,8.8,111,104.7
Frank Mason,Mil,G,25.94,6,8.8,18.3,21,22.4,4,0.5,9,0.333,10,0.2,0.316,0.337,2.3,1.3,7.5,1.8,25.8,0.33,0,1,8,79.7,98.6
Frank Ntilikina,Nyk,G,21.62,57,20.8,43.4,15.4,16.5,59,0.864,196,0.444,137,0.321,0.459,0.497,6.3,2.1,5.4,3,20.2,0.95,0.28,1.25,6.6,102.2,104.4
Fred VanVleet,Tor,G,26.04,48,35.8,74.6,22,12.2,166,0.843,363,0.43,338,0.388,0.503,0.546,17.6,3.8,5.5,6.6,27.4,1.83,0.27,2.25,8.5,111.6,102.9
Furkan Korkmaz,Phi,G-F,22.63,64,21.8,45.5,18.5,8.7,72,0.736,198,0.485,317,0.397,0.553,0.57,9.7,2.3,5.8,1.1,7.3,0.56,0.23,0.81,5.3,108.3,107.1
Gabe Vincent,Mia,G,23.74,6,6.9,14.4,20.1,0,0,0,3,0,16,0.25,0.316,0.316,2,0.5,4,0.5,10,0.17,0,0,4.6,75.2,110.1
Garrett Temple,Bro,G-F,33.84,55,28.1,58.6,16.6,9.3,73,0.767,178,0.483,346,0.324,0.485,0.507,10.3,3.5,6.3,2.6,13.1,0.8,0.47,1.04,6.5,104.8,106.6
Garrison Mathews,Was,G,23.38,18,12.6,26.3,14.5,10.1,34,0.912,10,0.5,46,0.413,0.598,0.691,5.4,1.3,5.8,0.6,5.8,0.44,0.06,0.44,5.1,132.2,106.3
Gary Clark,Hou,F,25.32,18,11.8,24.5,12.5,3.1,7,0.857,8,0.625,51,0.353,0.542,0.564,3.9,2.2,9.9,0.7,7.6,0.11,0.39,0.11,6.2,126.1,105.1
Gary Clark,Orl,F,25.32,17,12.6,26.2,9.3,6.5,2,1,7,0.714,35,0.286,0.476,0.49,2.5,2.6,11.3,0.2,1.9,0.18,0.41,0.18,3.5,109.5,108.9
Gary Harris,Den,G,25.49,56,31.8,66.2,15.1,9.7,92,0.815,309,0.479,210,0.333,0.487,0.519,10.4,2.9,5.1,2.1,8.9,1.36,0.25,1.07,5,104.7,107.8
Gary Payton II,Was,G,27.28,29,14.9,31,13.4,14.3,8,0.5,70,0.5,46,0.283,0.47,0.473,3.9,2.8,10.2,1.7,14.7,1.14,0.24,0.69,7.1,102.8,104.3
Gary Trent Jr.,Por,G-F,21.15,53,20,41.7,15.4,4.9,36,0.833,149,0.477,201,0.388,0.537,0.555,7.7,1.7,4.3,0.9,6.5,0.74,0.25,0.36,4.6,114.8,113.4
George Hill,Mil,G,33.86,52,21.2,44.2,15.8,11.6,83,0.831,184,0.571,152,0.48,0.638,0.668,9.6,3,6.9,2.9,18.4,0.81,0.08,0.94,8.2,131.2,99.4
Georges Niang,Uta,F,26.74,58,13.3,27.7,17.1,8.6,22,0.864,80,0.538,185,0.416,0.598,0.612,5.8,1.9,7.7,0.6,6.5,0.22,0.09,0.45,5.6,115.6,104.5
Giannis Antetokounmpo,Mil,F,25.26,57,30.9,64.4,37.4,13.1,570,0.633,868,0.622,271,0.306,0.583,0.608,29.6,13.7,21.9,5.8,33.9,1.05,1.02,3.67,17.2,115.8,89.7
Glenn Robinson III,Gol,F,26.17,48,31.6,65.8,16.6,8.7,74,0.851,336,0.524,170,0.4,0.549,0.575,12.9,4.7,8,1.8,8.8,0.94,0.29,1.06,6,112,112.8
Glenn Robinson III,Phi,F,26.17,12,18.9,39.4,14.8,3.8,9,1,50,0.62,21,0.286,0.563,0.594,7.4,2.8,8.3,0.9,7.1,0.75,0.17,0.25,5.6,125.1,105.9
Goga Bitadze,Ind,C-F,20.64,49,8.4,17.4,18,14.3,33,0.727,93,0.591,36,0.167,0.496,0.53,3.1,1.9,12.6,0.4,7.1,0.12,0.65,0.49,6.3,100.2,96.8
Goran Dragic,Mia,G,33.85,54,28.4,59.1,25.7,15,221,0.769,350,0.491,313,0.377,0.526,0.571,16.1,3.1,6.1,5.1,28.5,0.57,0.15,2.48,8.9,109.7,107.5
Gordon Hayward,Bos,F,29.97,45,33.4,69.5,20.9,10.8,111,0.847,418,0.553,189,0.392,0.563,0.593,17.3,6.5,10.5,4.1,19.1,0.78,0.44,1.76,9.3,118.2,105.3
Gorgui Dieng,Min,C,30.15,46,16.9,35.2,18.4,12.7,59,0.797,157,0.497,120,0.383,0.531,0.563,7.4,5.6,17.3,1.3,11.1,0.8,0.91,0.96,8.9,112.2,101.2
Gorgui Dieng,Mem,C,30.15,12,19.5,40.6,15.6,12.6,24,0.583,44,0.659,22,0.227,0.553,0.568,7.3,6.7,17.9,1.1,7.5,0.92,1.17,0.92,7.7,109.7,99.5
Grant Williams,Bos,F,21.28,62,15.6,32.6,11.5,17.7,51,0.725,107,0.551,85,0.247,0.471,0.508,3.5,2.7,9.1,1,8.2,0.45,0.53,0.74,5.4,103.7,95.5
Grayson Allen,Mem,G,24.43,30,16.6,34.6,17.9,10.7,35,0.857,85,0.541,91,0.363,0.543,0.577,7.4,2.2,7,1.4,11.8,0.23,0.03,0.77,6.8,110.9,109.1
Hamidou Diallo,Okc,G,21.61,38,18.4,38.3,17.4,13.4,45,0.622,184,0.5,35,0.2,0.468,0.488,6.1,3.2,9.7,0.6,4.5,0.74,0.21,0.97,4.9,92.8,99.4
Harrison Barnes,Sac,F,27.78,64,34.9,72.6,17.5,8.9,244,0.803,467,0.499,243,0.383,0.525,0.576,14.7,4.8,7.7,2.4,10,0.59,0.16,1.25,6.3,115.7,113.5
Harry Giles III,Sac,F-C,21.89,38,15.2,31.7,19.6,13.4,43,0.767,207,0.56,0,0,0.56,0.586,7,4.2,15.5,1.3,13.4,0.55,0.37,0.92,8.9,112.2,93.7
Hassan Whiteside,Por,C,30.75,61,31.3,65.3,19.8,13.1,225,0.68,669,0.619,7,0.571,0.621,0.641,16.3,14.2,23.6,1.2,6,0.39,3.07,1.92,8.3,123.3,103
Henry Ellenson,Bro,F-C,23.16,5,3,6.3,19.4,0,0,0,3,0.333,4,0,0.143,0.143,0.4,1.2,20.4,0.2,8.8,0,0,0,6.1,,
Ian Mahinmi,Was,C,33.35,38,21.3,44.3,15.8,14.7,113,0.619,185,0.535,26,0.192,0.505,0.543,7.4,5.8,14.9,1.3,8.2,0.82,1.16,1.18,7.2,109.8,103.3
Ignas Brazdeikis,Nyk,F,21.17,9,5.9,12.3,20.9,7.6,5,0.8,13,0.385,9,0.111,0.295,0.351,1.9,0.6,5,0.4,10.5,0,0.11,0.22,5.2,81.9,115.2
Iman Shumpert,Bro,G,29.71,13,18.5,38.6,13.4,13,7,0.571,31,0.419,33,0.242,0.391,0.403,4.2,2.6,7.3,0.9,6.8,0.92,0.15,0.77,4.6,84.9,102.6
Isaac Bonga,Was,G,20.34,58,17.7,36.8,10.2,15.9,64,0.813,129,0.574,55,0.4,0.582,0.627,4.6,3.2,9.8,1.1,7.7,0.64,0.36,0.69,5.7,121.3,105.9
Isaiah Hartenstein,Hou,C-F,21.85,23,11.6,24.1,14.8,16.8,28,0.679,62,0.71,5,0,0.657,0.674,4.7,3.9,17.7,0.8,9.8,0.39,0.52,0.7,8.4,127.4,95.5
Isaiah Roby,Okc,F,22.1,3,3.8,7.9,7.7,50,0,0,1,0,0,0,0,0,0,0.7,9.7,0,0,0,0,0.33,0,,
Isaiah Thomas,Was,G,31.09,40,23.1,48.2,24.1,14.2,76,0.816,237,0.405,189,0.413,0.5,0.531,12.2,1.7,4,3.7,23.2,0.33,0.15,1.9,7.4,102.8,114.1
Ish Smith,Was,G,31.68,60,26.2,54.5,18.3,11.2,70,0.686,431,0.48,150,0.367,0.498,0.512,10.5,3.1,6.6,4.8,25.9,0.88,0.4,1.28,8.2,109,115
Ivica Zubac,Lac,C,22.98,64,18.1,37.6,16.3,11.7,141,0.759,336,0.601,2,0,0.598,0.639,8,7.2,20.7,1.1,8.7,0.2,0.94,0.83,8.8,130.2,95.4
J.J. Barea,Dal,G,35.71,26,15,31.3,24.3,15.8,18,0.944,103,0.437,76,0.382,0.494,0.519,7.5,1.8,6.4,3.8,37.7,0.15,0.08,1.35,9.9,109.4,109.3
J.P. Macura,Cle,G,24.77,1,0.6,1.3,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
Ja Morant,Mem,G,20.59,59,30,62.6,26,17.2,265,0.77,661,0.517,139,0.367,0.523,0.568,17.6,3.5,6.2,6.9,34.6,0.93,0.25,3.24,10,109.3,111.2
Jabari Parker,Atl,F,24.99,32,26.2,54.5,24,12.4,72,0.736,278,0.601,115,0.27,0.543,0.565,15,6,12.3,1.8,11.5,1.31,0.47,1.88,8.3,105.9,105.7
Jabari Parker,Sac,F,24.99,1,14.6,30.4,20.5,0,2,1,5,0.2,1,0,0.167,0.291,4,4,15.4,2,17.9,0,0,0,8.7,80.8,106.6
Jacob Evans,Gol,G-F,22.73,27,15.3,31.9,17.6,14.6,29,0.862,95,0.337,38,0.342,0.387,0.439,4.7,1.5,5.4,1.1,10.9,0.41,0.44,0.93,5.2,86.4,108.9
Jacob Evans,Min,G-F,22.73,2,2.2,4.5,9.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Jae Crowder,Mem,F,29.68,45,29.4,61.2,15.6,10.9,95,0.789,133,0.519,266,0.293,0.466,0.507,9.9,6.2,11,2.8,12.2,1.04,0.31,1.2,7.6,105.2,107
Jae Crowder,Mia,F,29.68,13,28.7,59.8,15.8,6,26,0.769,25,0.6,89,0.393,0.592,0.618,11.9,5.8,11.4,2,10.2,1.54,0.54,0.62,7.2,123.5,98.3
Jahlil Okafor,Nor,C-F,24.24,28,15.2,31.6,19.8,17.5,58,0.638,142,0.613,2,0.5,0.615,0.631,7.6,4.3,14.8,1.3,12.6,0.25,0.68,1.29,9.2,115.2,100.1
JaKarr Sampson,Ind,F,26.98,26,13.1,27.3,12.5,7.2,20,0.55,68,0.676,13,0.154,0.605,0.607,4.2,2.3,9.6,0.3,3.6,0.35,0.35,0.27,4.4,119,99.1
Jake Layman,Min,F,26.01,23,22,45.8,17.7,11.1,32,0.75,107,0.533,72,0.333,0.52,0.544,9.1,2.5,5.9,0.7,4.4,0.74,0.39,1.04,4.6,101.8,108.3
Jakob Poeltl,San,C,24.41,58,16.6,34.7,13.3,14.9,74,0.486,218,0.619,0,0,0.619,0.611,5.3,5.3,17.3,1.8,14.6,0.52,1.47,0.76,8.9,125.2,104.4
Jalen Brunson,Dal,G,23.53,57,17.9,37.4,20.4,13.6,75,0.813,268,0.515,120,0.358,0.522,0.553,8.2,2.4,6.9,3.3,26.9,0.39,0.07,1.16,9,113.9,107.4
Jalen Lecque,Pho,G,19.74,4,6.6,13.8,19.1,8.4,2,1,6,0.667,4,0,0.4,0.46,2.5,0,0,0.5,10.9,0,0,0.25,0,93.9,112.7
Jalen McDaniels,Cha,F-C,22.11,16,18.3,38.2,13.4,13.4,17,0.824,46,0.522,24,0.375,0.536,0.574,5.6,4.1,12.1,0.8,6.7,0.5,0.19,0.75,5.8,110.5,101.7
Jamal Murray,Den,G,23.05,55,32.8,68.3,25.2,11.8,177,0.893,542,0.517,304,0.345,0.517,0.559,18.8,3.9,6.7,4.8,22.7,1.16,0.29,2.25,8.6,110.9,109
James Ennis III,Phi,F,29.7,49,15.8,33,15.7,10.6,61,0.787,120,0.525,106,0.349,0.524,0.564,5.8,3.1,10.7,0.8,7.4,0.45,0.31,0.61,6.2,113.3,101
James Ennis III,Orl,F,29.7,12,23.1,48.1,13.7,13.7,17,0.882,35,0.514,33,0.303,0.485,0.537,6.8,4.1,9.5,1.1,6.6,0.5,0.5,1,5.4,104.9,104.2
James Harden,Hou,G,30.54,61,36.7,76.5,36.4,13.7,719,0.861,617,0.538,769,0.352,0.533,0.616,34.4,6.3,9.1,7.4,34.4,1.74,0.87,4.43,12.8,119.7,103.6
James Johnson,Mia,F,33.06,18,15.6,32.5,17,13.9,14,0.571,42,0.548,45,0.356,0.54,0.547,5.7,2.9,10.4,1.2,11.1,0.33,0.72,0.83,6.9,102.7,99.9
James Johnson,Min,F,33.06,14,24.2,50.4,21.4,18.8,34,0.676,82,0.573,46,0.37,0.566,0.588,12,4.7,10.3,3.8,24.4,1.29,1.43,2.36,9.9,108.7,100.9
JaMychal Green,Lac,F-C,29.72,55,20.5,42.8,13.5,12.3,44,0.727,98,0.52,204,0.363,0.536,0.554,6.5,6.3,15.9,0.8,5.1,0.45,0.36,0.82,6.2,110.1,94.9
Jared Dudley,Lal,F,34.67,40,7.8,16.2,7.7,10.5,2,1,16,0.25,34,0.471,0.56,0.57,1.5,1.1,7.5,0.5,7.4,0.3,0.08,0.15,4.8,117.5,98.1
Jared Harper,Pho,G,22.49,3,2.6,5.5,21.5,0,0,0,2,0.5,2,0,0.25,0.25,0.7,0,0,0,0,0,0,0,0,,
Jaren Jackson Jr.,Mem,F-C,20.49,54,28,58.3,23.9,10.8,166,0.741,361,0.535,340,0.397,0.564,0.59,16.9,4.7,8.8,1.4,7.5,0.65,1.61,1.74,6.9,108.9,100.2
Jarred Vanderbilt,Den,F,20.94,9,4.6,9.6,14.7,50,0,0,7,0.714,0,0,0.714,0.714,1.1,0.9,10.8,0.2,6.5,0.33,0.11,0.78,5.1,76.2,95.6
Jarred Vanderbilt,Min,F,20.94,2,2.6,5.3,15.2,0,2,1,0,0,1,0,0,0.532,1,0.5,10.3,0,0,0,0,0,0,,
Jarrell Brantley,Uta,F,23.76,5,2.7,5.6,6.6,100,0,0,0,0,0,0,,,0,1,20.5,0.2,8.9,0,0.4,0.4,0,,
Jarrett Allen,Bro,C,21.89,64,25.7,53.6,15,12.2,237,0.62,408,0.654,5,0,0.646,0.658,10.6,9.5,18.9,1.3,7.8,0.58,1.33,1.13,7.9,128.7,100.1
Jarrett Culver,Min,G-F,21.06,63,23.9,49.8,19.2,11.7,117,0.462,348,0.471,221,0.299,0.462,0.467,9.2,3.4,7.5,1.7,10.8,0.89,0.62,1.3,6.3,94.1,108.7
Jarrod Uthoff,Mem,F,26.81,4,3.5,7.2,23.8,0,2,1,3,0.333,4,0,0.143,0.254,1,0.3,3.8,0,0,0.25,0,0,0,,
JaVale McGee,Lal,C-F,32.14,61,16.8,34.9,15,12.9,75,0.653,277,0.643,6,0.5,0.645,0.655,6.8,5.8,18.9,0.6,4.7,0.51,1.49,0.77,6.8,124.5,92.5
Javonte Green,Bos,G-F,26.64,44,9.4,19.6,13.6,13.7,36,0.639,75,0.573,23,0.261,0.531,0.558,2.9,1.8,10.4,0.5,7.6,0.52,0.16,0.41,5.9,109.3,99.9
Jaxson Hayes,Nor,C-F,19.8,56,17,35.4,15.2,11.6,173,0.63,232,0.664,4,0.25,0.659,0.673,7.5,4,12.4,0.9,7.5,0.41,0.96,0.73,7.1,129.6,100.1
Jaylen Brown,Bos,F-G,23.38,50,34,70.9,24.7,11.8,216,0.736,491,0.552,281,0.381,0.559,0.589,20.4,6.4,10,2.2,10.2,1.14,0.32,2.32,7.8,110.5,101.2
Jaylen Hoard,Por,F,20.95,13,7.9,16.5,17.2,9.6,13,0.615,29,0.517,3,0,0.469,0.504,2.9,2.5,16.1,0.3,5.4,0.38,0,0.31,6.6,111.7,103.5
Jaylen Nowell,Min,G,20.92,15,10.1,21,17.3,4.7,17,0.941,27,0.593,26,0.115,0.387,0.471,3.8,0.9,4.5,1.3,17.8,0.2,0,0.2,6.5,109.3,111.6
Jayson Tatum,Bos,F-G,22.03,59,34.6,72.1,28.6,9.6,279,0.806,694,0.478,420,0.398,0.523,0.562,23.6,7.1,11,2.9,14,1.42,0.9,2.22,9.1,110.3,103.3
Jeff Green,Uta,F,33.54,30,18.4,38.4,19.8,10.8,63,0.778,91,0.451,104,0.327,0.472,0.523,7.8,2.7,8,0.7,5.2,0.4,0.33,0.9,5.3,101.4,104.1
Jeff Green,Hou,F,33.54,10,20.2,42,16.3,11.3,10,0.8,32,0.844,34,0.412,0.727,0.739,10.4,3.2,8.3,1.2,9.2,0.9,0.5,0.9,6.8,134.9,104.3
Jeff Teague,Min,G,31.75,34,27.8,57.9,20.2,16.4,144,0.868,238,0.471,87,0.379,0.497,0.577,13.2,2.6,4.9,6.1,32.5,0.74,0.38,2.24,8.5,115.7,110.8
Jeff Teague,Atl,G,31.75,25,20.8,43.2,18.3,17.5,53,0.887,135,0.43,30,0.333,0.442,0.512,7.7,2.2,5.6,4,27.3,0.76,0.24,1.6,7.8,105,113.4
Jerami Grant,Den,F,26,64,26.2,54.6,17.8,8,170,0.741,337,0.519,220,0.4,0.551,0.586,11.6,3.5,7.5,1.2,6.7,0.69,0.81,0.86,5.6,115.6,105.9
Jeremiah Martin,Bro,G,23.73,3,5.3,11.1,13.1,0,0,0,4,0.25,1,0,0.2,0.2,0.7,0.7,6.4,0.7,16.5,0.33,0.33,0,5.3,66.4,110.4
Jeremy Lamb,Ind,G-F,27.78,46,28.1,58.5,19.7,8.7,110,0.836,321,0.508,158,0.335,0.506,0.547,12.5,4.3,8.5,2.1,10.5,1.17,0.48,1.09,6.9,107.8,103.2
Jeremy Pargo,Gol,G,34.01,3,14.8,30.8,25.5,15.1,1,0,15,0.533,7,0.429,0.568,0.557,8.3,1,3.7,2.7,32.8,0.33,0,1.33,7.6,102.6,101.2
Jerome Robinson,Lac,G,23.05,42,11.3,23.6,14.9,15.3,19,0.579,69,0.391,67,0.284,0.408,0.423,2.9,1.4,6.5,1.1,12.6,0.31,0.19,0.62,5.8,87.2,99.7
Jerome Robinson,Was,G,23.05,13,20.9,43.6,14.1,8.7,10,0.9,43,0.395,37,0.324,0.438,0.468,6.1,3.5,9.3,1.5,9.2,0.69,0.46,0.62,6.1,98.2,108.3
Jevon Carter,Pho,G,24.49,50,15.1,31.4,13.9,12.2,25,0.84,88,0.409,117,0.393,0.512,0.535,4.6,2,7.2,1.3,11.7,0.72,0.26,0.6,6.1,107.1,104.5
Jimmy Butler,Mia,F,30.49,54,34.3,71.4,25.2,11.2,490,0.833,606,0.493,117,0.248,0.474,0.582,20.2,6.6,10.8,6.1,28.1,1.7,0.54,2.19,10.9,122.4,107.4
JJ Redick,Nor,G,35.71,54,26.4,55,19.9,9.4,163,0.902,213,0.446,345,0.452,0.59,0.639,14.9,2.6,5.2,2,10.8,0.35,0.19,1.2,6.5,121.9,111.7
Joe Chealey,Cha,G,24.36,4,8.4,17.4,13,20.2,2,1,3,0,4,0,0,0.127,0.5,0,0,0.3,3.9,1,0,0.5,0,29.5,108.5
Joe Harris,Bro,G-F,28.51,63,30.9,64.3,18,11.3,83,0.747,336,0.536,369,0.412,0.579,0.592,13.9,4.3,7.2,2.1,10.3,0.6,0.25,1.49,6.5,111.8,106
Joe Ingles,Uta,F-G,32.44,64,29.9,62.4,15,18.8,84,0.774,184,0.516,310,0.397,0.566,0.588,9.8,4,7.3,5.2,23.9,0.89,0.14,1.92,7.9,114.6,105
Joel Embiid,Phi,C-F,25.99,44,30.2,62.9,32.7,13.4,382,0.814,541,0.51,161,0.348,0.513,0.592,23.4,11.8,21.6,3.1,17.3,0.84,1.34,3.07,12.6,113.8,96.4
John Collins,Atl,F,22.47,41,33.2,69.3,22.7,10.1,150,0.8,458,0.642,147,0.401,0.632,0.659,21.6,10.1,16.4,1.5,7.6,0.76,1.61,1.83,8.3,123.1,106.6
John Henson,Cle,F-C,29.2,29,14.2,29.6,16.2,13.5,33,0.515,89,0.618,31,0.194,0.533,0.539,5,3.9,15.4,1.5,15.3,0.55,1.1,0.72,8.7,111.1,101.5
John Henson,Det,F-C,29.2,11,17.1,35.7,16.6,20.9,13,0.462,46,0.696,5,0.4,0.686,0.67,6.9,4.4,14.5,1,9.2,0.73,0.91,1.36,7.3,111.1,101
John Konchar,Mem,G,23.97,15,11.1,23.2,10.4,14.3,2,0.5,26,0.731,9,0.444,0.714,0.711,3.4,3.1,14.4,1.4,16.7,0.47,0.2,0.4,8.8,141.1,109.4
Johnathan Motley,Lac,F,24.86,13,3.2,6.6,23.4,21.7,7,0.714,14,0.714,1,1,0.767,0.774,2.2,0.8,12.6,0.5,28.6,0.23,0,0.38,12,,
Johnathan Williams,Was,F,24.81,11,12.3,25.5,9.6,12.8,5,0.6,23,0.696,2,0,0.64,0.643,3.2,3.9,17.5,0.5,5.9,0.09,0.55,0.36,6,131.2,110.5
Jonah Bolden,Phi,F,24.19,4,3.6,7.4,17.8,34,2,0,2,1,1,0,0.667,0.515,1,0.3,3.9,0,0,0.25,0,0.5,0,,
Jonah Bolden,Pho,F,24.19,3,10.9,22.8,11.5,0,2,1,5,0.4,3,0,0.25,0.338,2,2.7,13.6,0,0,0.67,0.67,0,0,92.9,93.3
Jonas Valanciunas,Mem,C,27.85,62,26.3,54.8,21.4,12.7,168,0.732,580,0.614,79,0.367,0.606,0.629,14.9,11.3,22.5,1.8,10.2,0.42,1.11,1.73,10.2,119.4,100.7
Jonathan Isaac,Orl,F,22.44,32,29.7,61.8,18.3,11.7,73,0.767,231,0.515,91,0.33,0.509,0.542,12,6.9,12.5,1.4,7,1.56,2.44,1.47,6.6,105.2,101.3
Jordan Bell,Min,F,25.18,27,8.7,18.1,15.9,19.8,29,0.586,51,0.588,9,0.222,0.55,0.57,3.1,2.9,17.7,0.5,8.6,0.07,0.37,0.67,7.6,107.6,108.4
Jordan Bell,Mem,F,25.18,2,10.7,22.3,21.2,27.6,2,1,4,0.25,3,0.667,0.571,0.635,5,1.5,7.4,1,12.5,0.5,0,1.5,7.3,102.8,106.9
Jordan Bone,Det,G,22.35,10,5.3,11,18.1,9.1,0,0,10,0.3,10,0.2,0.3,0.3,1.2,0.4,4.3,0.8,21,0.1,0,0.2,5.5,76.1,106.4
Jordan Clarkson,Cle,G,27.76,29,23,47.8,25.9,9.7,86,0.884,167,0.509,159,0.371,0.532,0.581,14.6,2.4,5.8,2.4,17.1,0.59,0.28,1.34,7.6,115.6,114.9
Jordan Clarkson,Uta,G,27.76,34,25.3,52.8,25.3,8.7,59,0.78,234,0.577,194,0.366,0.564,0.583,15.6,2.9,6.2,1.6,10.5,0.76,0.21,1.26,6.6,111.5,106.2
Jordan McLaughlin,Min,G,23.92,30,19.7,41,15.8,13.7,39,0.667,102,0.569,76,0.382,0.57,0.587,7.6,1.6,4.4,4.2,31,1.13,0.13,1.03,7.5,121.1,111.3
Jordan McRae,Was,G,28.96,29,22.5,47,24.9,9.7,83,0.771,211,0.441,106,0.377,0.483,0.523,12.8,3.6,8.7,2.8,18.8,0.66,0.52,1.31,9,106,110.1
Jordan McRae,Den,G,28.96,4,8.1,16.8,10.5,0,4,0.75,2,0,4,0.5,0.5,0.58,2.3,1.3,8.6,1,15.5,0.5,0.25,0,7.1,143.1,105.5
Jordan McRae,Det,G,28.96,4,24.6,51.3,25.6,8.7,22,0.727,27,0.407,16,0.188,0.36,0.446,11.8,3.8,8.6,1.8,10.6,0,0,1.25,7,91.9,106.7
Jordan Poole,Gol,G,20.73,57,22.3,46.6,21,11.5,119,0.798,237,0.392,265,0.279,0.406,0.454,8.8,2.1,5,2.4,15.8,0.6,0.18,1.26,6.3,91.4,111.4
Josh Gray,Nor,G,26.51,2,11.4,23.6,12.6,71.4,0,0,2,0.5,0,0,0.5,0.5,1,1,4.6,1,10.5,0,0,2.5,3.5,46.9,115.4
Josh Hart,Nor,G,25.02,57,27.4,57.1,15.3,11.1,91,0.747,156,0.571,325,0.342,0.531,0.556,10.2,6.5,12.5,1.7,8.3,1.04,0.37,1.14,7.1,109,104
Josh Jackson,Mem,G-F,23.08,18,19.8,41.3,23.2,12.5,44,0.659,83,0.542,72,0.319,0.513,0.539,10.4,3.2,8.5,1.7,12.4,1,0.5,1.39,7.8,102.1,102.5
Josh Magette,Orl,G,30.29,8,4.7,9.9,23.8,23.9,2,0.5,11,0.364,4,0.25,0.367,0.378,1.5,0.8,8.5,0.6,19.3,0.38,0.13,0.63,7.6,71.1,98.4
Josh Okogie,Min,G,21.53,62,25,52,15.1,15.1,191,0.796,244,0.529,154,0.266,0.479,0.553,8.6,4.3,9.1,1.6,8.9,1.1,0.42,1.39,6.2,108.1,107.1
Josh Reaves,Dal,G-F,22.77,2,0.8,1.6,28.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Josh Richardson,Phi,G,26.49,48,30.7,64,21.1,12.6,128,0.789,360,0.489,214,0.327,0.49,0.526,13.8,3.4,6.1,3.1,14.8,0.94,0.71,1.9,6.9,103,105
Jrue Holiday,Nor,G,29.75,55,34.9,72.8,24.8,13.8,170,0.7,609,0.502,322,0.357,0.514,0.535,19.6,4.9,7.4,6.9,29.8,1.67,0.82,2.93,10,108.4,108.8
Juan Toscano-Anderson,Gol,F,26.92,13,20.9,43.6,12.7,19.7,5,0.6,40,0.525,23,0.348,0.524,0.529,5.3,4,10.4,2,13.8,1,0.38,1.23,6.7,98.1,104.2
Juancho Hernangomez,Den,F,24.45,34,12.4,25.9,14.3,12.9,25,0.64,50,0.46,60,0.25,0.414,0.442,3.1,2.8,12.5,0.6,6.7,0.15,0.15,0.53,5.6,94.2,106.7
Juancho Hernangomez,Min,F,24.45,14,29.4,61.2,17,7.6,46,0.609,68,0.485,69,0.42,0.558,0.576,12.9,7.3,13.1,1.3,6.4,1,0.29,0.93,6.8,114.2,106
Julius Randle,Nyk,C-F,25.28,64,32.5,67.7,27.6,14.3,352,0.733,774,0.516,231,0.277,0.493,0.538,19.5,9.7,16,3.1,15.8,0.8,0.34,3.03,10.3,103.9,105.7
Justin Anderson,Bro,F-G,26.31,3,5.6,11.7,17,0,2,0.5,3,0.333,3,0,0.167,0.218,1,0.7,6.1,0,0,0,0.33,0,0,50.2,101.8
Justin Holiday,Ind,F-G,30.93,65,24.9,51.8,13.5,7.9,59,0.78,143,0.476,288,0.424,0.582,0.6,8.4,3.2,7,1.3,7.1,1.14,0.65,0.6,5.3,116,104.5
Justin Jackson,Dal,F,24.96,58,16,33.4,15.8,3.5,44,0.818,160,0.494,151,0.298,0.471,0.498,5.7,2.4,8,0.8,7.2,0.21,0.17,0.21,5.6,109.1,108.6
Justin James,Sac,G-F,23.13,33,6.6,13.8,18.8,7.4,21,0.476,52,0.462,26,0.346,0.481,0.487,2.6,0.9,7.7,0.5,10.8,0.18,0.27,0.21,6.4,101.3,108.6
Justin Patton,Okc,C,22.74,5,4.8,10.1,21.9,16.7,0,0,6,0.5,4,0.25,0.45,0.45,1.8,1,11.5,0.4,12.4,0,0,0.4,7.5,85.6,95.8
